url;name;country;price;color;taste;yearPos;usdPrice;colorFac
http://winestyle.ru/products/Jane-Ventura-Reserva-de-la-Musica-Brut-Rose-Cava-DO-2009.html;Jane Ventura, "Reserva de la Musica" Brut Rose, Cava DO, 2009;Spain;1776;rose;dry;2009;25;rose
http://winestyle.ru/products/Jane-Ventura-Reserva-de-la-Musica-Brut-Cava-DO-2008.html;Jane Ventura, "Reserva de la Musica" Brut, Cava DO, 2008;Spain;1776;white;dry;2008;25;white
http://winestyle.ru/products/Ferrari-Rose-Brut-Trento-DOC.html;Ferrari Rose Brut, Trento DOC, 375 ìë;Italy;1779;rose;dry;NA;25;rose
http://winestyle.ru/products/Cavas-Hill-Cava-Rosado-Brut-DO-gift-box.html;Cavas Hill, Cava Rosado Brut DO, gift box;Spain;1826;rose;dry;NA;25;rose
http://winestyle.ru/products/Rotari-Talento-Cuvee-28-Trento-DOC.html;Rotari Talento Cuvee 28, Trento DOC;Italy;1892;white;dry;NA;26;white
http://winestyle.ru/products/Santa-Margherita-52-Extra-Dry-Valdobbiadene-Prosecco-Superiore-DOCG-2013.html;Santa Margherita, "52" Extra Dry, Valdobbiadene Prosecco Superiore DOCG, 2013;Italy;1975;white;dry;2013;27;white
http://winestyle.ru/products/Santa-Margherita-52-Extra-Dry-Valdobbiadene-Prosecco-Superiore-DOCG-2014.html;Santa Margherita, "52" Extra Dry, Valdobbiadene Prosecco Superiore DOCG, 2014;Italy;1975;white;dry;2014;27;white
http://winestyle.ru/products/Louis-Bouillot-Perle-d-Aurore-Brut-Rose-Cremant-de-Bourgogne-AOC.html;Louis Bouillot, "Perle d'Aurore" Brut Rose, Cremant de Bourgogne AOC;France;2040;rose;dry;NA;28;rose
http://winestyle.ru/products/Dopff-au-Moulin-Cremant-d-Alsace-Blanc-de-Noirs-Brut-2010.html;Dopff au Moulin, Cremant d'Alsace "Blanc de Noirs" Brut, 2010;France;2115;white;dry;2010;29;white
http://winestyle.ru/products/Serafini-Vidotto-Bollicine-di-Prosecco.html;Serafini & Vidotto, Bollicine di Prosecco;Italy;2139;white;dry;NA;30;white
http://winestyle.ru/products/Jean-Baptiste-Adam-Cremant-d-Alsace-Brut-Rose.html;Jean-Baptiste Adam, Cremant d'Alsace Brut Rose;France;2163;rose;dry;NA;30;rose
http://winestyle.ru/products/Toques-et-Clochers-Limited-Edition-Cremant-de-Limoux-AOC-2011-gift-box.html;"Toques et Clochers" Limited Edition, Cremant de Limoux AOC, 2011, gift box;France;2168;white;dry;2011;30;white
http://winestyle.ru/products/Toques-et-Clochers-Limited-Edition-Cremant-de-Limoux-AOC-2010-gift-box.html;"Toques et Clochers" Limited Edition, Cremant de Limoux AOC, 2010, gift box;France;2168;white;dry;2010;30;white
http://winestyle.ru/products/Champagne-Drappier-Brut-Rose-Champagne-AOC-375.html;Champagne Drappier, Brut Rose, Champagne AOC, 375 ìë;France;3026;rose;dry;NA;42;rose
http://winestyle.ru/products/Pierre-Moncuit-Cuvee-Pierre-Moncuit-Delos-Brut.html;Pierre Moncuit, "Cuvee Pierre Moncuit-Delos" Brut;France;3146;white;dry;NA;44;white
http://winestyle.ru/products/Feudi-di-San-Gregorio-Dubl-Rosato-2010-gift-box.html;Feudi di San Gregorio, "Dubl" Rosato, gift box;Italy;3186;rose;dry;NA;44;rose
http://winestyle.ru/products/Dirler-Cade-Cremant-d-Alsace-AOC-Brut-Rose.html;Dirler-Cade, Cremant d'Alsace AOC Brut Rose;France;3294;rose;dry;NA;46;rose
http://winestyle.ru/products/Monte-Rossa-Prima-Cuvee-Brut.html;Monte Rossa, "Prima Cuvee" Brut;Italy;3426;white;dry;NA;48;white
http://winestyle.ru/products/Cavicchioli-Figli-Rose-del-Cristo.html;Cavicchioli & Figli, Rose' del Cristo;Italy;3467;rose;dry;NA;48;rose
http://winestyle.ru/products/Ferrari-Rose-Brut-Trento-DOC-gift-box-750.html;Ferrari Rose Brut, Trento DOC, gift box;Italy;3471;rose;dry;NA;48;rose
http://winestyle.ru/products/Vilarnau-Gran-Reserva-Brut-Nature-Vintage-2009-gift-box.html;"Vilarnau" Gran Reserva Brut Nature Vintage, 2009, gift box;Spain;3531;white;dry;2009;49;white
http://winestyle.ru/products/Nino-Franco-Superiore-di-Cartizze-Valdobbiadene-DOCG-2011.html;Nino Franco, "Superiore di Cartizze", Valdobbiadene DOCG, 2011;Italy;3556;white;dry;2011;49;white
http://winestyle.ru/products/Lis-Neris-Dom-Jurosa-Brut-Blanc-de-Blanc-2009.html;Lis Neris, "Dom Jurosa" Brut Blanc de Blanc, 2009;Italy;3634;white;dry;2009;50;white
http://winestyle.ru/products/Ferrari-Perle-Brut-2007-Trento-DOC.html;Ferrari, "Perle" Brut, 2007, Trento DOC;Italy;3654;white;dry;2007;51;white
http://winestyle.ru/products/Monte-Rossa-P-R-Blanc-de-Blancs-Brut.html;Monte Rossa, "P.R." Blanc de Blancs Brut;Italy;3678;white;dry;NA;51;white
http://winestyle.ru/products/Chanoine-Cuvee-Rose-Brut.html;Chanoine, "Cuvee Rose" Brut;France;3694;rose;dry;NA;51;rose
http://winestyle.ru/products/Monte-Rossa-Prima-Cuvee-Brut-gift-box.html;Monte Rossa, "Prima Cuvee" Brut, gift box;Italy;3726;white;dry;NA;52;white
http://winestyle.ru/products/Ruinart-Blanc-de-Blancs-2002.html;Ruinart, Blanc de Blancs, 375 ìë;France;3730;white;dry;NA;52;white
http://winestyle.ru/products/Ferghettina-Franciacorta-Saten-Brut-DOCG-2006.html;Ferghettina Franciacorta Saten Brut DOCG 2006;Italy;3864;rose;dry;2006;54;rose
http://winestyle.ru/products/Ferghettina-Franciacorta-Saten-Brut-DOCG-2007.html;Ferghettina, Franciacorta "Saten" Brut DOCG, 2007;Italy;3864;white;dry;2007;54;white
